variable,2.5%,25%,50%,75%,97.5%,rhat,ess_bulk,ess_tail,cohort,age,year,S
"S4[107,3]",3.848368749999999e-9,2.7571300000000002e-8,6.223005e-8,1.24744e-7,3.6606407499999973e-7,0.9999051932822484,5430.501747538552,5487.8155849920395,2007,2,2009,S4
"S4[108,3]",6.9364895e-9,4.68438e-8,1.03377e-7,1.9686125e-7,5.136472499999995e-7,0.9998706535878217,5383.2141752194075,5289.2151211410865,2008,2,2010,S4
"S4[109,3]",1.11857275e-7,5.452132500000001e-7,9.83393e-7,1.5990325e-6,3.606225999999999e-6,1.001060061170846,5281.885214287963,5209.765860748211,2009,2,2011,S4
"S4[110,3]",2.8963332499999998e-8,1.662175e-7,3.335695e-7,6.0076725e-7,1.4887902499999975e-6,1.0003364810710604,5307.228463136686,5251.522967683442,2010,2,2012,S4
"S4[111,3]",5.7707485e-8,3.2136374999999996e-7,5.919969999999999e-7,1.010695e-6,2.265108249999996e-6,1.0017397257410576,5187.764516498315,5207.623245939198,2011,2,2013,S4
"S4[112,3]",1.97007925e-8,1.2447874999999998e-7,2.36306e-7,4.140705e-7,9.8577825e-7,1.0001514899022328,5484.52785656756,5508.91569899778,2012,2,2014,S4
"S4[97,4]",2.17380525e-8,1.2122025e-7,2.5050250000000004e-7,4.7251674999999996e-7,1.25025625e-6,1.0010142651820793,5481.904870927615,5504.313444188132,1997,3,2000,S4
"S4[98,4]",1.1397027499999998e-8,6.5569725e-8,1.3340950000000001e-7,2.42806e-7,6.615157249999996e-7,0.9998909905658351,5541.515894973206,5506.354970066291,1998,3,2001,S4
"S4[99,4]",1.5941567499999998e-9,1.0330375e-8,2.4741250000000003e-8,5.229645e-8,1.7417207499999996e-7,0.999666807134426,5940.685187966171,5487.295325174405,1999,3,2002,S4
"S4[100,4]",4.455316e-10,2.4273599999999998e-9,5.130005e-9,9.8082925e-9,2.9261002499999992e-8,1.0019796203003315,5448.739275042684,5471.529152256513,2000,3,2003,S4
"S4[101,4]",6.301198249999999e-9,2.6901525000000002e-8,4.925695e-8,8.5243775e-8,1.9699144999999998e-7,1.000558811523549,5171.704752307684,5590.807046417264,2001,3,2004,S4
"S4[102,4]",5.67479875e-8,1.8501275e-7,2.86902e-7,4.2218600000000005e-7,8.047039499999995e-7,1.0000481094544984,5598.77593888097,5427.825749031275,2002,3,2005,S4
"S4[103,4]",7.840174e-8,2.2416475e-7,3.330565e-7,4.7417974999999997e-7,8.385520499999999e-7,1.0006838038143107,5670.432478791543,5470.149652808444,2003,3,2006,S4
"S4[104,4]",1.0504095e-7,3.159525e-7,4.834635e-7,6.998395e-7,1.34047075e-6,1.0009419896659184,5587.519345132238,5400.809216372862,2004,3,2007,S4
