state,Year,Age,severe,numcase
27,2006,38,Mild,50
27,2006,38,Severe,1
27,2006,39,Mild,45
27,2006,40,Mild,44
27,2006,40,Severe,1
27,2006,41,Mild,37
27,2006,42,Mild,35
27,2006,43,Mild,30
27,2006,44,Mild,27
27,2006,44,Severe,1
27,2006,45,Mild,38
27,2006,46,Mild,45
27,2006,46,Severe,1
27,2006,47,Mild,42
27,2006,47,Severe,1
27,2006,48,Mild,36
27,2006,49,Mild,36
27,2006,49,Severe,1
27,2006,50,Mild,23
27,2006,51,Mild,22
27,2006,51,Severe,1
27,2006,52,Mild,28
27,2006,53,Mild,18
27,2006,53,Severe,1
27,2006,54,Mild,24
27,2006,55,Mild,20
27,2006,56,Mild,23
27,2006,56,Severe,1
27,2006,57,Mild,14
27,2006,58,Mild,15
27,2006,59,Mild,12
27,2006,60,Mild,16
27,2006,61,Mild,13
27,2006,62,Mild,9
27,2006,63,Mild,14
27,2006,64,Mild,8
27,2006,65,Mild,9
27,2006,66,Mild,13
27,2006,67,Mild,10
27,2006,68,Mild,11
27,2006,69,Mild,5
27,2006,69,Severe,1
27,2006,70,Mild,6
27,2006,71,Mild,4
27,2006,72,Mild,4
27,2006,73,Mild,2
27,2006,74,Mild,6
27,2006,75,Mild,4
27,2006,76,Mild,1
27,2006,77,Mild,3
27,2006,78,Mild,1
27,2006,80,Mild,4
27,2006,81,Mild,1
27,2006,82,Mild,1
27,2006,83,Mild,1
27,2006,87,Mild,1
27,2006,90,Mild,1
27,2007,1,Mild,3
27,2007,2,Mild,70
27,2007,2,Severe,1
27,2007,3,Mild,85
27,2007,3,Severe,5
27,2007,4,Mild,112
27,2007,5,Mild,103
27,2007,5,Severe,3
27,2007,6,Mild,113
27,2007,6,Severe,6
27,2007,7,Mild,124
27,2007,7,Severe,9
27,2007,8,Mild,125
27,2007,8,Severe,3
27,2007,9,Mild,143
27,2007,9,Severe,1
27,2007,10,Mild,138
27,2007,10,Severe,7
27,2007,11,Mild,164
27,2007,11,Severe,6
27,2007,12,Mild,176
27,2007,12,Severe,3
27,2007,13,Mild,168
27,2007,13,Severe,5
27,2007,14,Mild,182
27,2007,14,Severe,3
27,2007,15,Mild,208
27,2007,15,Severe,8
27,2007,16,Mild,217
27,2007,16,Severe,3
27,2007,17,Mild,190
27,2007,17,Severe,2
27,2007,18,Mild,208
27,2007,18,Severe,5
27,2007,19,Mild,241
27,2007,19,Severe,5
27,2007,20,Mild,249
27,2007,20,Severe,4
27,2007,21,Mild,262
27,2007,21,Severe,6
27,2007,22,Mild,258
27,2007,22,Severe,11
27,2007,23,Mild,247
27,2007,23,Severe,6
27,2007,24,Mild,230
27,2007,24,Severe,9
27,2007,25,Mild,226
27,2007,25,Severe,5
27,2007,26,Mild,256
27,2007,26,Severe,2
27,2007,27,Mild,240
27,2007,27,Severe,5
27,2007,28,Mild,209
27,2007,28,Severe,6
27,2007,29,Mild,213
27,2007,29,Severe,6
27,2007,30,Mild,192
27,2007,30,Severe,8
27,2007,31,Mild,213
27,2007,31,Severe,7
27,2007,32,Mild,174
27,2007,32,Severe,8
27,2007,33,Mild,168
27,2007,33,Severe,3
27,2007,34,Mild,177
27,2007,34,Severe,6
27,2007,35,Mild,156
27,2007,35,Severe,3
27,2007,36,Mild,171
27,2007,36,Severe,1
27,2007,37,Mild,134
27,2007,37,Severe,3
27,2007,38,Mild,126
27,2007,38,Severe,4
27,2007,39,Mild,131
27,2007,39,Severe,3
27,2007,40,Mild,126
27,2007,40,Severe,5
27,2007,41,Mild,135
27,2007,41,Severe,1
27,2007,42,Mild,125
27,2007,42,Severe,6
27,2007,43,Mild,148
27,2007,43,Severe,3
27,2007,44,Mild,97
27,2007,44,Severe,6
27,2007,45,Mild,124
27,2007,45,Severe,4
27,2007,46,Mild,111
27,2007,46,Severe,1
27,2007,47,Mild,100
27,2007,47,Severe,3
27,2007,48,Mild,83
27,2007,48,Severe,1
27,2007,49,Mild,93
27,2007,49,Severe,1
27,2007,50,Mild,74
27,2007,50,Severe,1
27,2007,51,Mild,91
27,2007,51,Severe,4
27,2007,52,Mild,72
27,2007,52,Severe,3
27,2007,53,Mild,66
27,2007,54,Mild,63
27,2007,55,Mild,56
27,2007,56,Mild,61
27,2007,57,Mild,50
27,2007,57,Severe,1
27,2007,58,Mild,44
27,2007,59,Mild,47
27,2007,59,Severe,3
27,2007,60,Mild,43
27,2007,61,Mild,36
27,2007,61,Severe,2
27,2007,62,Mild,40
27,2007,63,Mild,20
27,2007,64,Mild,31
27,2007,64,Severe,2
27,2007,65,Mild,42
27,2007,66,Mild,21
27,2007,66,Severe,1
27,2007,67,Mild,29
27,2007,68,Mild,11
27,2007,69,Mild,17
27,2007,69,Severe,1
27,2007,70,Mild,10
27,2007,71,Mild,19
27,2007,72,Mild,12
27,2007,73,Mild,16
27,2007,74,Mild,3
27,2007,75,Mild,6
27,2007,76,Mild,9
27,2007,77,Mild,7
27,2007,78,Mild,4
27,2007,78,Severe,1
27,2007,79,Mild,4
27,2007,79,Severe,1
27,2007,80,Mild,7
27,2007,81,Mild,2
27,2007,82,Mild,3
27,2007,83,Mild,3
27,2007,84,Mild,7
27,2007,85,Mild,2
27,2007,87,Mild,5
27,2007,88,Mild,2
27,2007,89,Mild,1
27,2007,96,Mild,1
27,2008,1,Mild,3
27,2008,2,Mild,147
27,2008,2,Severe,4
27,2008,3,Mild,119
27,2008,3,Severe,1
27,2008,4,Mild,197
27,2008,4,Severe,15
27,2008,5,Mild,204
27,2008,5,Severe,16
27,2008,6,Mild,214
27,2008,6,Severe,19
27,2008,7,Mild,222
27,2008,7,Severe,6
27,2008,8,Mild,223
27,2008,8,Severe,11
27,2008,9,Mild,198
27,2008,9,Severe,9
27,2008,10,Mild,185
27,2008,10,Severe,4
27,2008,11,Mild,197
27,2008,11,Severe,5
27,2008,12,Mild,217
27,2008,12,Severe,7
27,2008,13,Mild,184
27,2008,13,Severe,3
27,2008,14,Mild,186
27,2008,14,Severe,6
27,2008,15,Mild,205
27,2008,15,Severe,1
27,2008,16,Mild,211
27,2008,16,Severe,3
27,2008,17,Mild,149
27,2008,17,Severe,4
27,2008,18,Mild,183
27,2008,19,Mild,208
27,2008,19,Severe,3
27,2008,20,Mild,214
27,2008,20,Severe,3
27,2008,21,Mild,224
27,2008,21,Severe,4
27,2008,22,Mild,226
27,2008,22,Severe,3
27,2008,23,Mild,195
27,2008,23,Severe,4
27,2008,24,Mild,193
27,2008,24,Severe,4
27,2008,25,Mild,195
27,2008,25,Severe,1
27,2008,26,Mild,223
27,2008,26,Severe,1
27,2008,27,Mild,192
27,2008,28,Mild,193
27,2008,28,Severe,5
27,2008,29,Mild,161
27,2008,29,Severe,1
27,2008,30,Mild,149
27,2008,30,Severe,5
27,2008,31,Mild,135
27,2008,31,Severe,6
27,2008,32,Mild,141
