"foi_prior_lbounds","foi_prior_ubounds"
0.007826177,0.050650137
0.004531145965,0.04164504834
0.011697358,0.09123072
0.023786949213,0.08966694
0.0142520153,0.055208284
0.00010151151,0.0016724202
0.03194031,0.124448155
0.02899617622,0.09613358
0.00933083707,0.03163026
0.012275055,0.036313763
0.06508898,0.1742917
0.031222651,0.08823669
0.00156007695,0.0191769769
0.007233257,0.06973614
0.0124040368,0.08283884
0.0047240837,0.0332472427
0.006314184,0.047749652
0.00939370826,0.0658007
0.0081411412,0.04202668
0.012619164,0.071335719
0.00061467457,0.051159957
0.0033676796,0.05501459
0.02999017,0.1067088
0.00589424871,0.0213487499
0.00511756638,0.015168534
0.0598097,0.1304815
0.03945372,0.1289463
