state,year,age,numpop
35,2001,94,11628
35,2001,95,13242
35,2001,96,14898
35,2001,97,15689
35,2001,98,14730
35,2001,99,11510
35,2002,80,52408
35,2002,81,33567
35,2002,82,19286
35,2002,83,10982
35,2002,84,7267
35,2002,85,8114
35,2002,86,11428
35,2002,87,15040
35,2002,88,17428
35,2002,89,18051
35,2002,90,17010
35,2002,91,15132
35,2002,92,13534
35,2002,93,13059
35,2002,94,13970
35,2002,95,15553
35,2002,96,17367
35,2002,97,18371
35,2002,98,17571
35,2002,99,14297
35,2003,80,53613
35,2003,81,34236
35,2003,82,19890
35,2003,83,11734
35,2003,84,9230
35,2003,85,11101
35,2003,86,15221
35,2003,87,19277
35,2003,88,21577
35,2003,89,22220
35,2003,90,20813
35,2003,91,18454
35,2003,92,16405
35,2003,93,15538
35,2003,94,16015
35,2003,95,17459
35,2003,96,19098
35,2003,97,20021
35,2003,98,19347
35,2003,99,16577
35,2004,80,53979
35,2004,81,35012
35,2004,82,21294
35,2004,83,13886
35,2004,84,12161
35,2004,85,14636
35,2004,86,19033
35,2004,87,23154
35,2004,88,25517
35,2004,89,25670
35,2004,90,23907
35,2004,91,21315
35,2004,92,19086
35,2004,93,18093
35,2004,94,18135
35,2004,95,19313
35,2004,96,20475
35,2004,97,21084
35,2004,98,20339
35,2004,99,17940
35,2005,80,54165
35,2005,81,36115
35,2005,82,23322
35,2005,83,16882
35,2005,84,15377
35,2005,85,17899
35,2005,86,22065
35,2005,87,25820
35,2005,88,27956
35,2005,89,27876
35,2005,90,25920
35,2005,91,23499
35,2005,92,21389
35,2005,93,20282
35,2005,94,20318
35,2005,95,21218
35,2005,96,21996
35,2005,97,22245
35,2005,98,21385
35,2005,99,19056
35,2006,80,54816
35,2006,81,37713
35,2006,82,25577
35,2006,83,19331
35,2006,84,18211
35,2006,85,20518
35,2006,86,24082
35,2006,87,26989
35,2006,88,29005
35,2006,89,28896
35,2006,90,27212
35,2006,91,25072
35,2006,92,23421
35,2006,93,22569
35,2006,94,22725
35,2006,95,23434
35,2006,96,24009
35,2006,97,23921
35,2006,98,22793
35,2006,99,20398
35,2007,80,55930
35,2007,81,39733
35,2007,82,27827
35,2007,83,21696
35,2007,84,20548
35,2007,85,22388
35,2007,86,25297
35,2007,87,27582
35,2007,88,29112
35,2007,89,28930
35,2007,90,27565
35,2007,91,25974
35,2007,92,24932
35,2007,93,24733
35,2007,94,25258
35,2007,95,26037
35,2007,96,26463
35,2007,97,26074
35,2007,98,24631
35,2007,99,22056
35,2008,80,58254
35,2008,81,41966
35,2008,82,30349
35,2008,83,24138
35,2008,84,22629
35,2008,85,24038
35,2008,86,26412
35,2008,87,28325
35,2008,88,29213
35,2008,89,28898
35,2008,90,27838
35,2008,91,26853
35,2008,92,26552
35,2008,93,27064
35,2008,94,28072
35,2008,95,29085
35,2008,96,29490
35,2008,97,28887
35,2008,98,27148
35,2008,99,24321
35,2009,80,61968
35,2009,81,45307
35,2009,82,33393
35,2009,83,26837
35,2009,84,24905
35,2009,85,25843
35,2009,86,27758
35,2009,87,29186
35,2009,88,29754
35,2009,89,29384
35,2009,90,28562
35,2009,91,28073
35,2009,92,28427
35,2009,93,29448
35,2009,94,30944
35,2009,95,32262
35,2009,96,32763
35,2009,97,32072
35,2009,98,30132
35,2009,99,27071
35,2010,90,29691
35,2010,91,29432
35,2010,92,29973
35,2010,93,31308
35,2010,94,33079
35,2010,95,34636
35,2010,96,35298
35,2010,97,34673
35,2010,98,32715
35,2010,99,29580
35,2011,90,31340
35,2011,91,31072
35,2011,92,31345
35,2011,93,32515
35,2011,94,34202
35,2011,95,35845
35,2011,96,36659
35,2011,97,36225
35,2011,98,34453
35,2011,99,31453
35,2012,90,33873
35,2012,91,33041
35,2012,92,33003
35,2012,93,33635
35,2012,94,35021
35,2012,95,36525
35,2012,96,37437
35,2012,97,37257
35,2012,98,35804
35,2012,99,33075
35,2013,90,37144
35,2013,91,35620
35,2013,92,34744
35,2013,93,34802
35,2013,94,35726
35,2013,95,37021
35,2013,96,38004
35,2013,97,38085
35,2013,98,37031
35,2013,99,34614
35,2014,90,40753
35,2014,91,38578
35,2014,92,36887
35,2014,93,36230
35,2014,94,36646
35,2014,95,37721
35,2014,96,38791
35,2014,97,39205
35,2014,98,38474
35,2014,99,36282
35,2015,90,44285
35,2015,91,41664
35,2015,92,39352
35,2015,93,38108
35,2015,94,38116
35,2015,95,39033
35,2015,96,40214
35,2015,97,40920
35,2015,98,40495
35,2015,99,38512
35,2016,90,47262
35,2016,91,44493
35,2016,92,41893
